"i1","i2","i3","i4","target"
18,16,14,14,17
16,14,14,17,15
14,14,17,15,18
14,17,15,18,16
17,15,18,16,14
15,18,16,14,7
18,16,14,7,15
16,14,7,15,13
14,7,15,13,19
7,15,13,19,14
15,13,19,14,12
13,19,14,12,10
19,14,12,10,11
14,12,10,11,19
12,10,11,19,15
10,11,19,15,13
11,19,15,13,10
19,15,13,10,16
15,13,10,16,14
13,10,16,14,9
10,16,14,9,20
16,14,9,20,17
14,9,20,17,15
9,20,17,15,8
20,17,15,8,19
17,15,8,19,17
15,8,19,17,20
8,19,17,20,18
19,17,20,18,16
17,20,18,16,4
20,18,16,4,17
18,16,4,17,15
16,4,17,15,21
4,17,15,21,16
17,15,21,16,14
15,21,16,14,7
21,16,14,7,22
16,14,7,22,18
14,7,22,18,13
7,22,18,13,11
22,18,13,11,14
18,13,11,14,12
13,11,14,12,22
11,14,12,22,18
14,12,22,18,15
12,22,18,15,13
22,18,15,13,13
18,15,13,13,11
15,13,13,11,21
13,13,11,21,16
13,11,21,16,14
11,21,16,14,12
21,16,14,12,13
16,14,12,13,11
14,12,13,11,21
12,13,11,21,15
13,11,21,15,12
11,21,15,12,8
21,15,12,8,20
15,12,8,20,15
12,8,20,15,11
8,20,15,11,11
20,15,11,11,16
15,11,11,16,9
11,11,16,9,19
11,16,9,19,16
16,9,19,16,11
9,19,16,11,7
19,16,11,7,20
16,11,7,20,14
11,7,20,14,5
7,20,14,5,21
20,14,5,21,19
14,5,21,19,15
5,21,19,15,11
21,19,15,11,8
19,15,11,8,7
15,11,8,7,8
11,8,7,8,14
8,7,8,14,18
7,8,14,18,13
8,14,18,13,8
14,18,13,8,4
18,13,8,4,18
13,8,4,18,14
8,4,18,14,9
4,18,14,9,7
18,14,9,7,10
14,9,7,10,8
9,7,10,8,18
7,10,8,18,14
10,8,18,14,11
8,18,14,11,9
18,14,11,9,9
14,11,9,9,7
11,9,9,7,19
9,9,7,19,14
9,7,19,14,10
7,19,14,10,10
19,14,10,10,12
14,10,10,12,9
10,10,12,9,19
10,12,9,19,17
12,9,19,17,15
9,19,17,15,8
19,17,15,8,7
17,15,8,7,18
15,8,7,18,17
8,7,18,17,15
7,18,17,15,6
18,17,15,6,16
17,15,6,16,12
15,6,16,12,17
6,16,12,17,16
16,12,17,16,12
12,17,16,12,8
17,16,12,8,15
16,12,8,15,16
12,8,15,16,12
8,15,16,12,5
15,16,12,5,18
16,12,5,18,13
12,5,18,13,11
5,18,13,11,9
18,13,11,9,10
13,11,9,10,8
11,9,10,8,18
9,10,8,18,16
10,8,18,16,9
8,18,16,9,7
18,16,9,7,15
16,9,7,15,6
9,7,15,6,17
7,15,6,17,14
15,6,17,14,9
6,17,14,9,5
17,14,9,5,13
14,9,5,13,10
9,5,13,10,4
5,13,10,4,17
13,10,4,17,14
10,4,17,14,9
4,17,14,9,5
17,14,9,5,15
14,9,5,15,8
9,5,15,8,6
5,15,8,6,16
15,8,6,16,16
8,6,16,16,11
6,16,16,11,7
16,16,11,7,14
16,11,7,14,9
11,7,14,9,15
7,14,9,15,14
14,9,15,14,12
9,15,14,12,10
15,14,12,10,16
14,12,10,16,8
12,10,16,8,17
10,16,8,17,15
16,8,17,15,14
8,17,15,14,11
17,15,14,11,11
15,14,11,11,12
14,11,11,12,10
11,11,12,10,13
11,12,10,13,11
12,10,13,11,10
10,13,11,10,14
13,11,10,14,11
11,10,14,11,9
10,14,11,9,7
14,11,9,7,18
11,9,7,18,14
9,7,18,14,9
7,18,14,9,7
18,14,9,7,10
14,9,7,10,8
9,7,10,8,18
7,10,8,18,14
10,8,18,14,11
8,18,14,11,9
18,14,11,9,9
14,11,9,9,7
11,9,9,7,19
9,9,7,19,14
9,7,19,14,10
7,19,14,10,10
19,14,10,10,11
14,10,10,11,19
10,10,11,19,15
10,11,19,15,12
11,19,15,12,10
19,15,12,10,16
15,12,10,16,9
12,10,16,9,20
10,16,9,20,17
16,9,20,17,12
9,20,17,12,8
20,17,12,8,15
17,12,8,15,6
12,8,15,6,20
8,15,6,20,16
15,6,20,16,9
6,20,16,9,21
20,16,9,21,16
16,9,21,16,12
9,21,16,12,5
21,16,12,5,18
16,12,5,18,16
12,5,18,16,14
5,18,16,14,9
18,16,14,9,17
16,14,9,17,8
14,9,17,8,18
9,17,8,18,18
17,8,18,18,14
8,18,18,14,9
18,18,14,9,19
18,14,9,19,16
14,9,19,16,7
9,19,16,7,19
19,16,7,19,17
16,7,19,17,14
7,19,17,14,10
19,17,14,10,18
17,14,10,18,13
14,10,18,13,16
10,18,13,16,11
18,13,16,11,17
13,16,11,17,14
16,11,17,14,12
11,17,14,12,12
17,14,12,12,16
14,12,12,16,11
12,12,16,11,15
12,16,11,15,14
16,11,15,14,12
11,15,14,12,10
15,14,12,10,16
14,12,10,16,10
12,10,16,10,8
10,16,10,8,17
16,10,8,17,15
10,8,17,15,13
8,17,15,13,8
17,15,13,8,11
15,13,8,11,11
13,8,11,11,4
8,11,11,4,14
11,11,4,14,11
11,4,14,11,9
