"i1","i2","i3","i4","target"
14,11,9,7,6
11,9,7,6,14
9,7,6,14,12
7,6,14,12,9
6,14,12,9,5
14,12,9,5,10
12,9,5,10,15
9,5,10,15,13
5,10,15,13,4
10,15,13,4,11
15,13,4,11,16
13,4,11,16,11
4,11,16,11,9
11,16,11,9,7
16,11,9,7,12
11,9,7,12,8
9,7,12,8,18
7,12,8,18,13
12,8,18,13,8
8,18,13,8,6
18,13,8,6,7
13,8,6,7,18
8,6,7,18,12
6,7,18,12,8
7,18,12,8,8
18,12,8,8,13
12,8,8,13,14
8,8,13,14,8
8,13,14,8,1
13,14,8,1,18
14,8,1,18,13
8,1,18,13,8
1,18,13,8,4
18,13,8,4,16
13,8,4,16,13
8,4,16,13,9
4,16,13,9,8
16,13,9,8,17
13,9,8,17,12
9,8,17,12,7
8,17,12,7,5
17,12,7,5,8
12,7,5,8,6
7,5,8,6,16
5,8,6,16,11
8,6,16,11,9
6,16,11,9,7
16,11,9,7,12
11,9,7,12,10
9,7,12,10,3
7,12,10,3,15
12,10,3,15,13
10,3,15,13,11
3,15,13,11,3
15,13,11,3,2
13,11,3,2,16
11,3,2,16,14
3,2,16,14,11
2,16,14,11,1
16,14,11,1,0
14,11,1,0,15
11,1,0,15,14
1,0,15,14,11
0,15,14,11,4
15,14,11,4,13
14,11,4,13,-3
11,4,13,-3,10
4,13,-3,10,14
13,-3,10,14,11
-3,10,14,11,9
10,14,11,9,0
14,11,9,0,15
11,9,0,15,13
9,0,15,13,11
0,15,13,11,4
15,13,11,4,14
13,11,4,14,12
11,4,14,12,15
4,14,12,15,15
14,12,15,15,13
12,15,15,13,11
15,15,13,11,12
15,13,11,12,10
13,11,12,10,16
11,12,10,16,11
12,10,16,11,9
10,16,11,9,17
16,11,9,17,15
11,9,17,15,12
9,17,15,12,8
17,15,12,8,17
15,12,8,17,15
12,8,17,15,13
8,17,15,13,16
17,15,13,16,15
15,13,16,15,9
13,16,15,9,5
16,15,9,5,15
15,9,5,15,16
9,5,15,16,12
5,15,16,12,-2
15,16,12,-2,11
16,12,-2,11,15
12,-2,11,15,12
-2,11,15,12,10
11,15,12,10,1
15,12,10,1,16
12,10,1,16,12
10,1,16,12,7
1,16,12,7,5
16,12,7,5,8
12,7,5,8,6
7,5,8,6,16
5,8,6,16,12
8,6,16,12,9
6,16,12,9,7
16,12,9,7,10
12,9,7,10,16
9,7,10,16,12
7,10,16,12,11
10,16,12,11,12
16,12,11,12,17
12,11,12,17,12
11,12,17,12,10
12,17,12,10,8
17,12,10,8,18
12,10,8,18,13
10,8,18,13,19
8,18,13,19,14
18,13,19,14,13
13,19,14,13,19
19,14,13,19,13
14,13,19,13,9
13,19,13,9,9
19,13,9,9,14
13,9,9,14,15
9,9,14,15,9
9,14,15,9,2
14,15,9,2,19
15,9,2,19,14
9,2,19,14,9
2,19,14,9,5
19,14,9,5,20
14,9,5,20,15
9,5,20,15,11
5,20,15,11,4
20,15,11,4,3
15,11,4,3,21
11,4,3,21,14
4,3,21,14,11
3,21,14,11,2
21,14,11,2,15
14,11,2,15,1
11,2,15,1,16
2,15,1,16,16
15,1,16,16,14
1,16,16,14,0
16,16,14,0,-1
16,14,0,-1,17
14,0,-1,17,7
0,-1,17,7,-2
-1,17,7,-2,15
17,7,-2,15,8
7,-2,15,8,-1
-2,15,8,-1,16
15,8,-1,16,9
8,-1,16,9,0
-1,16,9,0,14
16,9,0,14,-2
9,0,14,-2,15
0,14,-2,15,14
14,-2,15,14,12
-2,15,14,12,11
15,14,12,11,2
14,12,11,2,12
12,11,2,12,1
11,2,12,1,15
2,12,1,15,13
12,1,15,13,11
1,15,13,11,4
15,13,11,4,18
13,11,4,18,14
11,4,18,14,11
4,18,14,11,2
18,14,11,2,13
14,11,2,13,19
11,2,13,19,12
2,13,19,12,11
13,19,12,11,3
19,12,11,3,10
12,11,3,10,18
11,3,10,18,13
3,10,18,13,10
10,18,13,10,4
18,13,10,4,9
13,10,4,9,17
10,4,9,17,14
4,9,17,14,9
9,17,14,9,5
17,14,9,5,15
14,9,5,15,8
9,5,15,8,6
5,15,8,6,16
15,8,6,16,11
8,6,16,11,7
6,16,11,7,7
16,11,7,7,17
11,7,7,17,15
7,7,17,15,12
7,17,15,12,7
17,15,12,7,3
15,12,7,3,6
12,7,3,6,5
7,3,6,5,11
3,6,5,11,6
6,5,11,6,4
5,11,6,4,14
11,6,4,14,11
6,4,14,11,9
