"i1","i2","i3","i4","target"
14,11,9,0,14
11,9,0,14,11
9,0,14,11,9
0,14,11,9,0
14,11,9,0,13
11,9,0,13,10
9,0,13,10,8
0,13,10,8,1
13,10,8,1,12
10,8,1,12,11
8,1,12,11,9
1,12,11,9,2
12,11,9,2,7
11,9,2,7,14
9,2,7,14,9
2,7,14,9,7
7,14,9,7,5
14,9,7,5,15
9,7,5,15,10
7,5,15,10,7
5,15,10,7,4
15,10,7,4,6
10,7,4,6,16
7,4,6,16,11
4,6,16,11,7
6,16,11,7,0
16,11,7,0,14
11,7,0,14,10
7,0,14,10,5
0,14,10,5,3
14,10,5,3,11
10,5,3,11,8
5,3,11,8,6
3,11,8,6,3
11,8,6,3,14
8,6,3,14,11
6,3,14,11,7
3,14,11,7,2
14,11,7,2,15
11,7,2,15,11
7,2,15,11,10
2,15,11,10,-1
15,11,10,-1,16
11,10,-1,16,11
10,-1,16,11,9
-1,16,11,9,0
16,11,9,0,8
11,9,0,8,17
9,0,8,17,12
0,8,17,12,7
8,17,12,7,3
17,12,7,3,15
12,7,3,15,11
7,3,15,11,7
3,15,11,7,4
15,11,7,4,14
11,7,4,14,6
7,4,14,6,5
4,14,6,5,15
14,6,5,15,6
6,5,15,6,14
5,15,6,14,11
15,6,14,11,9
6,14,11,9,0
14,11,9,0,14
11,9,0,14,11
9,0,14,11,9
0,14,11,9,0
14,11,9,0,12
11,9,0,12,8
9,0,12,8,0
0,12,8,0,13
12,8,0,13,11
8,0,13,11,8
0,13,11,8,-1
13,11,8,-1,14
11,8,-1,14,9
8,-1,14,9,-2
-1,14,9,-2,13
14,9,-2,13,12
9,-2,13,12,5
-2,13,12,5,1
13,12,5,1,9
12,5,1,9,6
5,1,9,6,0
1,9,6,0,7
9,6,0,7,11
6,0,7,11,8
0,7,11,8,8
7,11,8,8,-1
11,8,8,-1,7
8,8,-1,7,0
8,-1,7,0,6
-1,7,0,6,8
7,0,6,8,5
0,6,8,5,1
6,8,5,1,6
8,5,1,6,7
5,1,6,7,11
1,6,7,11,8
6,7,11,8,6
7,11,8,6,-3
11,8,6,-3,11
8,6,-3,11,8
6,-3,11,8,6
-3,11,8,6,4
11,8,6,4,3
8,6,4,3,14
6,4,3,14,11
4,3,14,11,7
3,14,11,7,2
14,11,7,2,12
11,7,2,12,3
7,2,12,3,15
2,12,3,15,13
12,3,15,13,10
3,15,13,10,2
15,13,10,2,1
13,10,2,1,16
10,2,1,16,14
2,1,16,14,11
1,16,14,11,0
16,14,11,0,7
14,11,0,7,17
11,0,7,17,15
0,7,17,15,12
7,17,15,12,7
17,15,12,7,11
15,12,7,11,6
12,7,11,6,16
7,11,6,16,15
11,6,16,15,11
6,16,15,11,7
16,15,11,7,14
15,11,7,14,15
11,7,14,15,11
7,14,15,11,4
14,15,11,4,13
15,11,4,13,16
11,4,13,16,14
4,13,16,14,11
13,16,14,11,0
16,14,11,0,15
14,11,0,15,11
11,0,15,11,11
0,15,11,11,6
15,11,11,6,10
11,11,6,10,16
11,6,10,16,11
6,10,16,11,9
10,16,11,9,7
16,11,9,7,8
11,9,7,8,6
9,7,8,6,17
7,8,6,17,12
8,6,17,12,7
6,17,12,7,5
17,12,7,5,18
12,7,5,18,13
7,5,18,13,8
5,18,13,8,4
18,13,8,4,17
13,8,4,17,16
8,4,17,16,11
4,17,16,11,7
17,16,11,7,7
16,11,7,7,15
11,7,7,15,11
7,7,15,11,7
7,15,11,7,4
15,11,7,4,14
11,7,4,14,6
7,4,14,6,5
4,14,6,5,15
14,6,5,15,6
6,5,15,6,14
5,15,6,14,11
15,6,14,11,9
