"i1","i2","i3","i4","target"
17,14,12,10,18
14,12,10,18,14
12,10,18,14,11
10,18,14,11,9
18,14,11,9,19
14,11,9,19,15
11,9,19,15,12
9,19,15,12,20
19,15,12,20,16
15,12,20,16,15
12,20,16,15,20
20,16,15,20,16
16,15,20,16,9
15,20,16,9,21
20,16,9,21,16
16,9,21,16,12
9,21,16,12,12
21,16,12,12,13
16,12,12,13,11
12,12,13,11,10
12,13,11,10,18
13,11,10,18,14
11,10,18,14,9
10,18,14,9,17
18,14,9,17,8
14,9,17,8,18
9,17,8,18,16
17,8,18,16,14
8,18,16,14,7
18,16,14,7,15
16,14,7,15,16
14,7,15,16,14
7,15,16,14,5
15,16,14,5,14
16,14,5,14,4
14,5,14,4,19
5,14,4,19,17
14,4,19,17,14
4,19,17,14,3
19,17,14,3,18
17,14,3,18,16
14,3,18,16,14
3,18,16,14,7
18,16,14,7,19
16,14,7,19,17
14,7,19,17,14
7,19,17,14,10
19,17,14,10,20
17,14,10,20,18
14,10,20,18,15
10,20,18,15,21
20,18,15,21,19
18,15,21,19,21
15,21,19,21,18
21,19,21,18,15
19,21,18,15,11
21,18,15,11,20
18,15,11,20,17
15,11,20,17,11
11,20,17,11,4
20,17,11,4,16
17,11,4,16,17
11,4,16,17,21
4,16,17,21,16
16,17,21,16,11
17,21,16,11,7
21,16,11,7,17
16,11,7,17,14
11,7,17,14,12
7,17,14,12,10
17,14,12,10,18
14,12,10,18,14
12,10,18,14,11
10,18,14,11,9
18,14,11,9,19
14,11,9,19,14
11,9,19,14,10
9,19,14,10,20
19,14,10,20,15
14,10,20,15,10
10,20,15,10,8
20,15,10,8,20
15,10,8,20,15
10,8,20,15,11
8,20,15,11,4
20,15,11,4,16
15,11,4,16,17
11,4,16,17,21
4,16,17,21,16
16,17,21,16,11
17,21,16,11,7
21,16,11,7,15
16,11,7,15,18
11,7,15,18,16
7,15,18,16,14
15,18,16,14,17
18,16,14,17,8
16,14,17,8,18
14,17,8,18,18
17,8,18,18,14
8,18,18,14,9
18,18,14,9,16
18,14,9,16,14
14,9,16,14,8
9,16,14,8,7
16,14,8,7,19
14,8,7,19,17
8,7,19,17,14
7,19,17,14,10
19,17,14,10,18
17,14,10,18,15
14,10,18,15,13
10,18,15,13,10
18,15,13,10,19
15,13,10,19,14
13,10,19,14,20
10,19,14,20,17
19,14,20,17,15
14,20,17,15,8
20,17,15,8,21
17,15,8,21,18
15,8,21,18,7
8,21,18,7,21
21,18,7,21,18
18,7,21,18,15
7,21,18,15,11
21,18,15,11,17
18,15,11,17,16
15,11,17,16,20
11,17,16,20,17
17,16,20,17,11
16,20,17,11,4
20,17,11,4,15
17,11,4,15,21
11,4,15,21,16
4,15,21,16,11
15,21,16,11,7
21,16,11,7,18
16,11,7,18,16
11,7,18,16,14
7,18,16,14,7
18,16,14,7,17
16,14,7,17,8
14,7,17,8,18
7,17,8,18,18
17,8,18,18,14
8,18,18,14,9
18,18,14,9,17
18,14,9,17,8
14,9,17,8,18
9,17,8,18,18
17,8,18,18,14
8,18,18,14,9
18,18,14,9,16
18,14,9,16,7
14,9,16,7,19
9,16,7,19,17
16,7,19,17,14
7,19,17,14,10
19,17,14,10,11
17,14,10,11,18
14,10,11,18,18
10,11,18,18,14
11,18,18,14,10
18,18,14,10,9
18,14,10,9,17
14,10,9,17,15
10,9,17,15,8
9,17,15,8,9
17,15,8,9,19
15,8,9,19,17
8,9,19,17,14
9,19,17,14,10
19,17,14,10,3
17,14,10,3,19
14,10,3,19,17
10,3,19,17,14
3,19,17,14,7
19,17,14,7,16
17,14,7,16,17
14,7,16,17,13
7,16,17,13,15
16,17,13,15,18
17,13,15,18,16
13,15,18,16,14
15,18,16,14,7
18,16,14,7,18
16,14,7,18,15
14,7,18,15,13
7,18,15,13,10
18,15,13,10,18
15,13,10,18,11
13,10,18,11,14
10,18,11,14,9
18,11,14,9,18
11,14,9,18,18
14,9,18,18,19
9,18,18,19,14
18,18,19,14,8
18,19,14,8,18
19,14,8,18,17
14,8,18,17,16
8,18,17,16,14
18,17,16,14,7
17,16,14,7,19
16,14,7,19,17
14,7,19,17,15
7,19,17,15,6
19,17,15,6,19
17,15,6,19,17
15,6,19,17,14
6,19,17,14,7
19,17,14,7,15
17,14,7,15,10
14,7,15,10,13
7,15,10,13,8
15,10,13,8,18
10,13,8,18,14
13,8,18,14,9
8,18,14,9,7
18,14,9,7,21
14,9,7,21,14
9,7,21,14,11
7,21,14,11,9
21,14,11,9,19
14,11,9,19,14
11,9,19,14,10
9,19,14,10,10
19,14,10,10,5
14,10,10,5,18
10,10,5,18,15
10,5,18,15,10
5,18,15,10,6
18,15,10,6,16
15,10,6,16,9
10,6,16,9,17
6,16,9,17,15
16,9,17,15,12
9,17,15,12,8
17,15,12,8,21
15,12,8,21,18
12,8,21,18,14
8,21,18,14,9
21,18,14,9,19
18,14,9,19,17
14,9,19,17,14
9,19,17,14,10
19,17,14,10,18
17,14,10,18,16
14,10,18,16,7
10,18,16,7,12
18,16,7,12,17
16,7,12,17,14
7,12,17,14,12
