"i1","i2","i3","i4","target"
0.5,0.5,0.5,1.0,1.0
0.5,0.5,1.0,1.0,0.5
0.5,1.0,1.0,0.5,0.5
1.0,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,0.5
0.5,0.5,1.0,0.5,0.5
0.5,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,0.5
0.5,0.5,1.0,0.5,0.5
0.5,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,0.5
0.5,0.5,1.0,0.5,0.5
0.5,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,0.5
0.5,0.5,1.0,0.5,0.5
0.5,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,0.5
0.5,0.5,1.0,0.5,0.5
0.5,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,0.5
0.5,0.5,1.0,0.5,0.5
0.5,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,0.5
0.5,0.5,1.0,0.5,0.5
0.5,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,0.5
0.5,0.5,1.0,0.5,0.5
0.5,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,1.0
0.5,0.5,1.0,1.0,0.5
0.5,1.0,1.0,0.5,0.5
1.0,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,1.0
0.5,0.5,1.0,1.0,0.5
0.5,1.0,1.0,0.5,0.5
1.0,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,1.0
0.5,0.5,1.0,1.0,0.5
0.5,1.0,1.0,0.5,0.5
1.0,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,1.0
0.5,0.5,1.0,1.0,0.5
0.5,1.0,1.0,0.5,0.5
1.0,1.0,0.5,0.5,1.0
1.0,0.5,0.5,1.0,1.0
0.5,0.5,1.0,1.0,0.5
0.5,1.0,1.0,0.5,0.5
1.0,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,1.0
0.5,0.5,1.0,1.0,0.5
0.5,1.0,1.0,0.5,0.5
1.0,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,1.0
0.5,0.5,1.0,1.0,0.5
0.5,1.0,1.0,0.5,0.5
1.0,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,1.0
0.5,0.5,1.0,1.0,0.5
0.5,1.0,1.0,0.5,0.5
1.0,1.0,0.5,0.5,2.5
1.0,0.5,0.5,2.5,1.0
0.5,0.5,2.5,1.0,1.0
0.5,2.5,1.0,1.0,0.25
2.5,1.0,1.0,0.25,0.25
1.0,1.0,0.25,0.25,0.5
1.0,0.25,0.25,0.5,0.5
0.25,0.25,0.5,0.5,0.5
0.25,0.5,0.5,0.5,2.5
0.5,0.5,0.5,2.5,1.0
0.5,0.5,2.5,1.0,2.0
0.5,2.5,1.0,2.0,0.5
2.5,1.0,2.0,0.5,0.5
1.0,2.0,0.5,0.5,0.5
2.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.25
0.5,0.5,0.5,0.25,0.75
0.5,0.5,0.25,0.75,0.5
0.5,0.25,0.75,0.5,0.5
0.25,0.75,0.5,0.5,0.5
0.75,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.25
0.5,0.5,0.5,0.25,0.75
0.5,0.5,0.25,0.75,0.5
0.5,0.25,0.75,0.5,0.5
0.25,0.75,0.5,0.5,0.5
0.75,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.25
0.5,0.5,0.5,0.25,0.75
0.5,0.5,0.25,0.75,0.5
0.5,0.25,0.75,0.5,0.5
0.25,0.75,0.5,0.5,0.5
0.75,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,0.5
0.5,0.5,1.0,0.5,0.5
0.5,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,0.5
0.5,0.5,1.0,0.5,0.5
0.5,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,0.5
0.5,0.5,1.0,0.5,0.5
0.5,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,1.0
0.5,0.5,1.0,1.0,0.5
0.5,1.0,1.0,0.5,0.5
1.0,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,1.0
0.5,0.5,1.0,1.0,0.5
0.5,1.0,1.0,0.5,0.5
1.0,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,1.0
0.5,0.5,1.0,1.0,0.5
0.5,1.0,1.0,0.5,0.5
1.0,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,1.0
0.5,0.5,1.0,1.0,0.5
0.5,1.0,1.0,0.5,0.5
1.0,1.0,0.5,0.5,1.0
1.0,0.5,0.5,1.0,1.0
0.5,0.5,1.0,1.0,0.5
0.5,1.0,1.0,0.5,0.5
1.0,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,1.0
0.5,0.5,1.0,1.0,0.5
0.5,1.0,1.0,0.5,0.5
1.0,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,1.0
0.5,0.5,1.0,1.0,0.5
0.5,1.0,1.0,0.5,0.5
1.0,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,1.0
0.5,0.5,1.0,1.0,0.5
0.5,1.0,1.0,0.5,0.5
1.0,1.0,0.5,0.5,2.5
1.0,0.5,0.5,2.5,1.0
0.5,0.5,2.5,1.0,1.0
0.5,2.5,1.0,1.0,0.25
2.5,1.0,1.0,0.25,0.25
1.0,1.0,0.25,0.25,0.5
1.0,0.25,0.25,0.5,0.5
0.25,0.25,0.5,0.5,0.5
0.25,0.5,0.5,0.5,2.5
0.5,0.5,0.5,2.5,1.0
0.5,0.5,2.5,1.0,2.0
0.5,2.5,1.0,2.0,0.25
2.5,1.0,2.0,0.25,0.25
1.0,2.0,0.25,0.25,0.5
2.0,0.25,0.25,0.5,0.5
0.25,0.25,0.5,0.5,0.5
0.25,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,4.0
0.5,0.5,0.5,4.0,2.0
0.5,0.5,4.0,2.0,2.0
0.5,4.0,2.0,2.0,2.0
4.0,2.0,2.0,2.0,2.0
2.0,2.0,2.0,2.0,0.25
2.0,2.0,2.0,0.25,0.3333333333333333
2.0,2.0,0.25,0.3333333333333333,0.25
2.0,0.25,0.3333333333333333,0.25,0.5
0.25,0.3333333333333333,0.25,0.5,0.25
0.3333333333333333,0.25,0.5,0.25,0.25
0.25,0.5,0.25,0.25,0.25
0.5,0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25,0.5
0.25,0.25,0.25,0.5,0.25
0.25,0.25,0.5,0.25,0.25
0.25,0.5,0.25,0.25,0.25
0.5,0.25,0.25,0.25,0.5
0.25,0.25,0.25,0.5,0.25
0.25,0.25,0.5,0.25,0.25
0.25,0.5,0.25,0.25,0.25
0.5,0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25,0.5
0.25,0.25,0.25,0.5,0.25
0.25,0.25,0.5,0.25,0.25
0.25,0.5,0.25,0.25,0.25
0.5,0.25,0.25,0.25,0.3333333333333333
0.25,0.25,0.25,0.3333333333333333,0.3333333333333333
0.25,0.25,0.3333333333333333,0.3333333333333333,0.25
0.25,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333
0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.25
0.3333333333333333,0.25,0.3333333333333333,0.25,0.5
0.25,0.3333333333333333,0.25,0.5,0.25
0.3333333333333333,0.25,0.5,0.25,0.25
0.25,0.5,0.25,0.25,0.5
0.5,0.25,0.25,0.5,0.5
0.25,0.25,0.5,0.5,0.5
0.25,0.5,0.5,0.5,0.25
0.5,0.5,0.5,0.25,0.25
0.5,0.5,0.25,0.25,0.25
0.5,0.25,0.25,0.25,0.5
0.25,0.25,0.25,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,0.5
0.5,0.5,1.0,0.5,0.5
0.5,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,0.5
0.5,0.5,1.0,0.5,0.5
0.5,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,0.5
0.5,0.5,1.0,0.5,0.5
0.5,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,0.5
0.5,0.5,1.0,0.5,0.5
0.5,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,1.0
