"i1","i2","i3","i4","target"
18,15,11,18,16
15,11,18,16,14
11,18,16,14,7
18,16,14,7,8
16,14,7,8,18
14,7,8,18,16
7,8,18,16,14
8,18,16,14,9
18,16,14,9,17
16,14,9,17,16
14,9,17,16,14
9,17,16,14,18
17,16,14,18,15
16,14,18,15,11
14,18,15,11,16
18,15,11,16,15
15,11,16,15,11
11,16,15,11,7
16,15,11,7,14
15,11,7,14,15
11,7,14,15,4
7,14,15,4,10
14,15,4,10,14
15,4,10,14,14
4,10,14,14,9
10,14,14,9,7
14,14,9,7,18
14,9,7,18,16
9,7,18,16,14
7,18,16,14,7
18,16,14,7,20
16,14,7,20,15
14,7,20,15,13
7,20,15,13,11
20,15,13,11,10
15,13,11,10,21
13,11,10,21,14
11,10,21,14,11
10,21,14,11,9
21,14,11,9,15
14,11,9,15,8
11,9,15,8,18
9,15,8,18,16
15,8,18,16,14
8,18,16,14,7
18,16,14,7,6
16,14,7,6,16
14,7,6,16,14
7,6,16,14,4
6,16,14,4,20
16,14,4,20,15
14,4,20,15,8
4,20,15,8,11
20,15,8,11,14
15,8,11,14,18
8,11,14,18,11
11,14,18,11,4
14,18,11,4,20
18,11,4,20,18
11,4,20,18,15
4,20,18,15,11
20,18,15,11,20
18,15,11,20,17
15,11,20,17,13
11,20,17,13,8
20,17,13,8,16
17,13,8,16,7
13,8,16,7,20
8,16,7,20,15
16,7,20,15,10
7,20,15,10,6
20,15,10,6,19
15,10,6,19,14
10,6,19,14,18
6,19,14,18,13
19,14,18,13,11
14,18,13,11,9
18,13,11,9,17
13,11,9,17,8
11,9,17,8,16
9,17,8,16,14
17,8,16,14,11
8,16,14,11,7
16,14,11,7,17
14,11,7,17,15
11,7,17,15,12
7,17,15,12,18
17,15,12,18,16
15,12,18,16,13
12,18,16,13,4
18,16,13,4,5
16,13,4,5,17
13,4,5,17,15
4,5,17,15,6
5,17,15,6,12
17,15,6,12,16
15,6,12,16,16
6,12,16,16,11
12,16,16,11,2
16,16,11,2,18
16,11,2,18,13
11,2,18,13,11
2,18,13,11,9
18,13,11,9,14
13,11,9,14,18
11,9,14,18,15
9,14,18,15,11
14,18,15,11,10
18,15,11,10,18
15,11,10,18,14
11,10,18,14,9
10,18,14,9,7
18,14,9,7,6
14,9,7,6,17
9,7,6,17,14
7,6,17,14,10
6,17,14,10,5
17,14,10,5,11
14,10,5,11,4
10,5,11,4,16
5,11,4,16,14
11,4,16,14,12
4,16,14,12,3
16,14,12,3,15
14,12,3,15,15
12,3,15,15,14
3,15,15,14,11
15,15,14,11,4
15,14,11,4,10
14,11,4,10,14
11,4,10,14,14
4,10,14,14,9
10,14,14,9,7
14,14,9,7,18
14,9,7,18,15
9,7,18,15,11
7,18,15,11,18
18,15,11,18,16
15,11,18,16,14
11,18,16,14,7
18,16,14,7,13
16,14,7,13,17
14,7,13,17,12
7,13,17,12,10
13,17,12,10,15
17,12,10,15,18
12,10,15,18,16
10,15,18,16,13
15,18,16,13,9
18,16,13,9,18
16,13,9,18,8
13,9,18,8,17
9,18,8,17,14
18,8,17,14,7
8,17,14,7,16
17,14,7,16,20
14,7,16,20,15
7,16,20,15,10
16,20,15,10,6
20,15,10,6,14
15,10,6,14,18
10,6,14,18,13
6,14,18,13,7
14,18,13,7,17
18,13,7,17,10
13,7,17,10,3
7,17,10,3,21
17,10,3,21,17
10,3,21,17,10
3,21,17,10,22
21,17,10,22,17
17,10,22,17,13
10,22,17,13,6
22,17,13,6,21
17,13,6,21,16
13,6,21,16,11
6,21,16,11,7
21,16,11,7,15
16,11,7,15,8
11,7,15,8,18
7,15,8,18,14
15,8,18,14,11
8,18,14,11,9
18,14,11,9,20
14,11,9,20,15
11,9,20,15,11
9,20,15,11,6
20,15,11,6,7
15,11,6,7,15
11,6,7,15,8
6,7,15,8,14
7,15,8,14,18
15,8,14,18,13
8,14,18,13,11
14,18,13,11,9
18,13,11,9,8
13,11,9,8,16
11,9,8,16,7
9,8,16,7,15
8,16,7,15,8
16,7,15,8,14
7,15,8,14,18
15,8,14,18,11
