"i1","i2","i3","i4","target"
16,14,11,7,15
14,11,7,15,13
11,7,15,13,11
7,15,13,11,4
15,13,11,4,10
13,11,4,10,14
11,4,10,14,12
4,10,14,12,9
10,14,12,9,5
14,12,9,5,15
12,9,5,15,11
9,5,15,11,8
5,15,11,8,6
15,11,8,6,16
11,8,6,16,11
8,6,16,11,7
6,16,11,7,7
16,11,7,7,17
11,7,7,17,8
7,7,17,8,18
7,17,8,18,14
17,8,18,14,9
8,18,14,9,2
18,14,9,2,3
14,9,2,3,17
9,2,3,17,8
2,3,17,8,4
3,17,8,4,7
17,8,4,7,13
8,4,7,13,8
4,7,13,8,16
7,13,8,16,14
13,8,16,14,7
8,16,14,7,0
16,14,7,0,18
14,7,0,18,15
7,0,18,15,11
0,18,15,11,6
18,15,11,6,16
15,11,6,16,14
11,6,16,14,11
6,16,14,11,7
16,14,11,7,17
14,11,7,17,14
11,7,17,14,12
7,17,14,12,5
17,14,12,5,6
14,12,5,6,16
12,5,6,16,14
5,6,16,14,11
6,16,14,11,7
16,14,11,7,15
14,11,7,15,13
11,7,15,13,14
7,15,13,14,12
15,13,14,12,12
13,14,12,12,3
14,12,12,3,15
12,12,3,15,13
12,3,15,13,16
3,15,13,16,14
15,13,16,14,11
13,16,14,11,2
16,14,11,2,3
14,11,2,3,15
11,2,3,15,14
2,3,15,14,11
3,15,14,11,4
15,14,11,4,10
14,11,4,10,9
11,4,10,9,13
4,10,9,13,10
10,9,13,10,14
9,13,10,14,11
13,10,14,11,9
10,14,11,9,0
14,11,9,0,18
11,9,0,18,16
9,0,18,16,14
0,18,16,14,7
18,16,14,7,19
16,14,7,19,15
14,7,19,15,10
7,19,15,10,6
19,15,10,6,20
15,10,6,20,11
10,6,20,11,21
6,20,11,21,14
20,11,21,14,12
11,21,14,12,5
21,14,12,5,15
14,12,5,15,6
12,5,15,6,21
5,15,6,21,16
15,6,21,16,12
6,21,16,12,7
21,16,12,7,8
16,12,7,8,20
12,7,8,20,16
7,8,20,16,11
8,20,16,11,9
20,16,11,9,19
16,11,9,19,10
11,9,19,10,18
9,19,10,18,13
19,10,18,13,11
10,18,13,11,19
18,13,11,19,8
13,11,19,8,19
11,19,8,19,16
19,8,19,16,7
8,19,16,7,15
19,16,7,15,10
16,7,15,10,8
7,15,10,8,14
15,10,8,14,18
10,8,14,18,13
8,14,18,13,11
14,18,13,11,4
18,13,11,4,18
13,11,4,18,14
11,4,18,14,9
4,18,14,9,7
18,14,9,7,19
14,9,7,19,14
9,7,19,14,10
7,19,14,10,3
19,14,10,3,20
14,10,3,20,15
10,3,20,15,21
3,20,15,21,16
20,15,21,16,11
15,21,16,11,2
21,16,11,2,10
16,11,2,10,1
11,2,10,1,21
2,10,1,21,16
10,1,21,16,11
1,21,16,11,2
21,16,11,2,12
16,11,2,12,3
11,2,12,3,20
2,12,3,20,15
12,3,20,15,13
3,20,15,13,4
20,15,13,4,19
15,13,4,19,14
13,4,19,14,5
4,19,14,5,18
19,14,5,18,15
14,5,18,15,15
5,18,15,15,6
18,15,15,6,19
15,15,6,19,16
15,6,19,16,11
6,19,16,11,7
19,16,11,7,19
16,11,7,19,15
11,7,19,15,11
7,19,15,11,8
19,15,11,8,14
15,11,8,14,13
11,8,14,13,14
8,14,13,14,10
14,13,14,10,1
13,14,10,1,18
14,10,1,18,13
10,1,18,13,11
1,18,13,11,4
18,13,11,4,15
13,11,4,15,13
11,4,15,13,11
4,15,13,11,11
15,13,11,11,16
13,11,11,16,14
11,11,16,14,11
11,16,14,11,10
16,14,11,10,9
14,11,10,9,17
11,10,9,17,13
10,9,17,13,10
9,17,13,10,8
17,13,10,8,14
13,10,8,14,9
10,8,14,9,17
8,14,9,17,15
14,9,17,15,8
9,17,15,8,7
17,15,8,7,6
15,8,7,6,16
8,7,6,16,14
7,6,16,14,11
6,16,14,11,7
16,14,11,7,18
14,11,7,18,16
11,7,18,16,17
7,18,16,17,15
18,16,17,15,12
16,17,15,12,3
17,15,12,3,16
15,12,3,16,14
12,3,16,14,15
3,16,14,15,13
16,14,15,13,13
14,15,13,13,4
15,13,13,4,12
13,13,4,12,15
13,4,12,15,13
4,12,15,13,11
12,15,13,11,4
15,13,11,4,18
13,11,4,18,13
11,4,18,13,11
4,18,13,11,2
18,13,11,2,16
13,11,2,16,14
11,2,16,14,11
2,16,14,11,5
16,14,11,5,17
14,11,5,17,10
11,5,17,10,1
5,17,10,1,13
17,10,1,13,16
10,1,13,16,14
1,13,16,14,11
13,16,14,11,2
16,14,11,2,15
14,11,2,15,13
11,2,15,13,14
2,15,13,14,12
15,13,14,12,12
13,14,12,12,3
14,12,12,3,15
12,12,3,15,13
12,3,15,13,16
3,15,13,16,14
15,13,16,14,11
13,16,14,11,2
16,14,11,2,3
14,11,2,3,15
11,2,3,15,11
2,3,15,11,4
3,15,11,4,10
15,11,4,10,9
11,4,10,9,13
4,10,9,13,10
10,9,13,10,14
9,13,10,14,11
13,10,14,11,9
