"i1","i2","i3","i4","target"
14,11,9,7,14
11,9,7,14,12
9,7,14,12,10
7,14,12,10,3
14,12,10,3,15
12,10,3,15,11
10,3,15,11,6
3,15,11,6,3
15,11,6,3,14
11,6,3,14,11
6,3,14,11,7
3,14,11,7,2
14,11,7,2,15
11,7,2,15,12
7,2,15,12,10
2,15,12,10,1
15,12,10,1,16
12,10,1,16,17
10,1,16,17,12
1,16,17,12,10
16,17,12,10,0
17,12,10,0,11
12,10,0,11,17
10,0,11,17,14
0,11,17,14,12
11,17,14,12,0
17,14,12,0,16
14,12,0,16,11
12,0,16,11,17
0,16,11,17,14
16,11,17,14,12
11,17,14,12,3
17,14,12,3,18
14,12,3,18,16
12,3,18,16,14
3,18,16,14,7
18,16,14,7,15
16,14,7,15,12
14,7,15,12,19
7,15,12,19,16
15,12,19,16,12
12,19,16,12,7
19,16,12,7,17
16,12,7,17,15
12,7,17,15,12
7,17,15,12,8
17,15,12,8,16
15,12,8,16,14
12,8,16,14,12
8,16,14,12,5
16,14,12,5,17
14,12,5,17,18
12,5,17,18,14
5,17,18,14,11
17,18,14,11,2
18,14,11,2,3
14,11,2,3,15
11,2,3,15,13
2,3,15,13,11
3,15,13,11,4
15,13,11,4,18
13,11,4,18,13
11,4,18,13,8
4,18,13,8,4
18,13,8,4,18
13,8,4,18,14
8,4,18,14,9
4,18,14,9,7
18,14,9,7,6
14,9,7,6,17
9,7,6,17,14
7,6,17,14,10
6,17,14,10,5
17,14,10,5,16
14,10,5,16,14
10,5,16,14,11
5,16,14,11,4
16,14,11,4,15
14,11,4,15,15
11,4,15,15,14
4,15,15,14,12
15,15,14,12,3
15,14,12,3,13
14,12,3,13,11
12,3,13,11,4
3,13,11,4,10
13,11,4,10,14
11,4,10,14,11
4,10,14,11,9
10,14,11,9,0
14,11,9,0,14
11,9,0,14,12
9,0,14,12,10
0,14,12,10,3
14,12,10,3,4
12,10,3,4,14
10,3,4,14,9
3,4,14,9,7
4,14,9,7,5
14,9,7,5,10
9,7,5,10,15
7,5,10,15,11
5,10,15,11,6
10,15,11,6,4
15,11,6,4,10
11,6,4,10,5
6,4,10,5,14
4,10,5,14,9
10,5,14,9,7
5,14,9,7,5
14,9,7,5,15
9,7,5,15,10
7,5,15,10,7
5,15,10,7,5
15,10,7,5,16
10,7,5,16,11
7,5,16,11,5
5,16,11,5,4
16,11,5,4,17
11,5,4,17,10
5,4,17,10,7
4,17,10,7,5
17,10,7,5,11
10,7,5,11,8
7,5,11,8,6
5,11,8,6,17
11,8,6,17,12
8,6,17,12,7
6,17,12,7,7
17,12,7,7,16
12,7,7,16,11
7,7,16,11,12
7,16,11,12,7
16,11,12,7,17
11,12,7,17,10
12,7,17,10,12
7,17,10,12,8
17,10,12,8,18
10,12,8,18,13
12,8,18,13,11
8,18,13,11,9
18,13,11,9,10
13,11,9,10,19
11,9,10,19,14
9,10,19,14,9
10,19,14,9,5
19,14,9,5,17
14,9,5,17,12
9,5,17,12,8
5,17,12,8,8
17,12,8,8,16
12,8,8,16,14
8,8,16,14,7
8,16,14,7,5
16,14,7,5,17
14,7,5,17,8
7,5,17,8,18
5,17,8,18,13
17,8,18,13,9
8,18,13,9,4
18,13,9,4,14
13,9,4,14,7
9,4,14,7,5
4,14,7,5,15
14,7,5,15,15
7,5,15,15,11
5,15,15,11,6
15,15,11,6,18
15,11,6,18,14
11,6,18,14,9
6,18,14,9,7
18,14,9,7,10
14,9,7,10,8
9,7,10,8,18
7,10,8,18,14
10,8,18,14,11
8,18,14,11,9
18,14,11,9,13
14,11,9,13,17
11,9,13,17,14
9,13,17,14,12
13,17,14,12,9
17,14,12,9,15
14,12,9,15,13
12,9,15,13,8
9,15,13,8,16
15,13,8,16,11
13,8,16,11,14
8,16,11,14,9
16,11,14,9,15
11,14,9,15,12
14,9,15,12,10
9,15,12,10,15
15,12,10,15,13
12,10,15,13,11
10,15,13,11,11
15,13,11,11,14
13,11,11,14,10
11,11,14,10,9
11,14,10,9,10
14,10,9,10,4
10,9,10,4,13
9,10,4,13,14
10,4,13,14,11
4,13,14,11,9
