"i1","i2","i3","i4","target"
-1,2,1,2,2
2,1,2,2,2
1,2,2,2,1
2,2,2,1,-1
2,2,1,-1,2
2,1,-1,2,2
1,-1,2,2,1
-1,2,2,1,2
2,2,1,2,1
2,1,2,1,1
1,2,1,1,2
2,1,1,2,2
1,1,2,2,2
1,2,2,2,3
2,2,2,3,3
2,2,3,3,3
2,3,3,3,3
3,3,3,3,2
3,3,3,2,1
3,3,2,1,2
3,2,1,2,3
2,1,2,3,2
1,2,3,2,2
2,3,2,2,1
3,2,2,1,-1
2,2,1,-1,2
2,1,-1,2,2
1,-1,2,2,1
-1,2,2,1,2
2,2,1,2,1
2,1,2,1,2
1,2,1,2,0
2,1,2,0,0
1,2,0,0,0
2,0,0,0,2
0,0,0,2,0
0,0,2,0,0
0,2,0,0,3
2,0,0,3,1
0,0,3,1,2
0,3,1,2,3
3,1,2,3,2
1,2,3,2,-1
2,3,2,-1,5
3,2,-1,5,3
2,-1,5,3,3
-1,5,3,3,2
5,3,3,2,2
3,3,2,2,2
3,2,2,2,1
2,2,2,1,2
2,2,1,2,2
2,1,2,2,1
1,2,2,1,0
2,2,1,0,1
0,1,2,2,1
1,2,2,1,0
2,2,1,0,1
2,1,0,1,2
1,0,1,2,2
0,1,2,2,1
1,2,2,1,0
2,2,1,0,0
2,1,0,0,1
1,0,0,1,2
0,0,1,2,2
0,1,2,2,2
1,2,2,2,2
2,2,2,2,3
2,2,2,3,3
2,2,3,3,4
2,3,3,4,5
3,3,4,5,4
3,4,5,4,3
4,5,4,3,2
5,4,3,2,1
4,3,2,1,0
3,2,1,0,3
2,1,0,3,2
1,0,3,2,2
0,3,2,2,3
3,2,2,3,3
2,2,3,3,1
2,3,3,1,-1
3,3,1,-1,2
3,1,-1,2,0
1,-1,2,0,0
-1,2,0,0,1
2,0,0,1,2
0,0,1,2,3
0,1,2,3,2
1,2,3,2,2
2,3,2,2,-2
3,2,2,-2,1
2,2,-2,1,1
2,-2,1,1,2
-2,1,1,2,2
1,1,2,2,0
1,2,2,0,3
2,2,0,3,3
2,0,3,3,1
0,3,3,1,4
3,3,1,4,4
3,1,4,4,2
1,4,4,2,5
4,4,2,5,4
4,2,5,4,3
2,5,4,3,2
5,4,3,2,3
4,3,2,3,2
3,2,3,2,-1
2,3,2,-1,2
3,2,-1,2,1
7,7,8,9,10
7,8,9,10,11
8,9,10,11,4
9,10,11,4,5
10,11,4,5,5
11,4,5,5,4
4,5,5,4,3
5,5,4,3,4
5,4,3,4,0
4,3,4,0,7
3,4,0,7,8
4,0,7,8,9
0,7,8,9,10
7,8,9,10,11
8,9,10,11,4
9,10,11,4,7
10,11,4,7,6
11,4,7,6,5
4,7,6,5,4
7,6,5,4,5
6,5,4,5,3
5,4,5,3,6
4,5,3,6,2
5,3,6,2,9
3,6,2,9,8
6,2,9,8,7
2,9,8,7,7
9,8,7,7,6
8,7,7,6,7
7,7,6,7,5
7,6,7,5,3
6,7,5,3,1
7,5,3,1,4
5,3,1,4,0
3,1,4,0,7
1,4,0,7,6
4,0,7,6,5
0,7,6,5,4
7,6,5,4,3
6,5,4,3,4
5,4,3,4,2
4,3,4,2,3
3,4,2,3,4
4,2,3,4,5
2,3,4,5,3
3,4,5,3,6
4,5,3,6,6
5,3,6,6,4
3,6,6,4,7
6,6,4,7,7
6,4,7,7,5
4,7,7,5,7
7,7,5,7,8
7,5,7,8,6
5,7,8,6,9
7,8,6,9,9
8,6,9,9,7
6,9,9,7,10
9,9,7,10,10
9,7,10,10,8
7,10,10,8,11
10,10,8,11,4
7,7,8,9,10
7,8,9,10,11
8,9,10,11,4
9,10,11,4,5
10,11,4,5,5
11,4,5,5,4
4,5,5,4,3
5,5,4,3,4
5,4,3,4,0
4,3,4,0,7
3,4,0,7,8
4,0,7,8,9
0,7,8,9,10
7,8,9,10,11
8,9,10,11,4
9,10,11,4,7
10,11,4,7,6
11,4,7,6,5
4,7,6,5,4
7,6,5,4,5
6,5,4,5,3
5,4,5,3,6
4,5,3,6,-1
5,3,6,-1,2
3,6,-1,2,9
6,-1,2,9,8
-1,2,9,8,7
2,9,8,7,7
9,8,7,7,6
8,7,7,6,7
7,7,6,7,5
7,6,7,5,3
6,7,5,3,1
7,5,3,1,4
5,3,1,4,0
3,1,4,0,7
1,4,0,7,6
4,0,7,6,5
0,7,6,5,4
7,6,5,4,3
6,5,4,3,4
5,4,3,4,2
4,3,4,2,3
3,4,2,3,4
4,2,3,4,5
2,3,4,5,3
3,4,5,3,6
4,5,3,6,6
5,3,6,6,4
3,6,6,4,7
6,6,4,7,0
6,4,7,0,7
4,7,0,7,5
7,0,7,5,7
0,7,5,7,0
7,5,7,0,8
5,7,0,8,6
7,0,8,6,9
0,8,6,9,2
8,6,9,2,9
6,9,2,9,7
9,2,9,7,10
2,9,7,10,3
9,7,10,3,10
7,10,3,10,8
10,3,10,8,11
3,10,8,11,10
10,8,11,10,11
8,11,10,11,4
