"i1","i2","i3","i4","target"
18,14,9,0,10
14,9,0,10,1
9,0,10,1,16
0,10,1,16,14
10,1,16,14,11
1,16,14,11,2
16,14,11,2,3
14,11,2,3,15
11,2,3,15,4
2,3,15,4,13
3,15,4,13,8
15,4,13,8,12
4,13,8,12,13
13,8,12,13,11
8,12,13,11,10
12,13,11,10,14
13,11,10,14,11
11,10,14,11,9
10,14,11,9,0
14,11,9,0,18
11,9,0,18,15
9,0,18,15,11
0,18,15,11,6
18,15,11,6,4
15,11,6,4,19
11,6,4,19,15
6,4,19,15,8
4,19,15,8,10
19,15,8,10,1
15,8,10,1,18
8,10,1,18,15
10,1,18,15,13
1,18,15,13,4
18,15,13,4,21
15,13,4,21,14
13,4,21,14,9
4,21,14,9,5
21,14,9,5,4
14,9,5,4,21
9,5,4,21,15
5,4,21,15,12
4,21,15,12,3
21,15,12,3,1
15,12,3,1,20
12,3,1,20,15
3,1,20,15,12
1,20,15,12,4
20,15,12,4,11
15,12,4,11,6
12,4,11,6,10
4,11,6,10,20
11,6,10,20,13
6,10,20,13,11
10,20,13,11,9
20,13,11,9,14
13,11,9,14,8
11,9,14,8,15
9,14,8,15,19
14,8,15,19,16
8,15,19,16,7
15,19,16,7,10
19,16,7,10,5
16,7,10,5,9
7,10,5,9,10
10,5,9,10,8
5,9,10,8,18
9,10,8,18,15
10,8,18,15,1
8,18,15,1,14
18,15,1,14,18
15,1,14,18,13
1,14,18,13,8
14,18,13,8,4
18,13,8,4,18
13,8,4,18,14
8,4,18,14,9
4,18,14,9,7
18,14,9,7,19
14,9,7,19,14
9,7,19,14,10
7,19,14,10,3
19,14,10,3,9
14,10,3,9,18
10,3,9,18,13
3,9,18,13,8
9,18,13,8,4
18,13,8,4,17
13,8,4,17,12
8,4,17,12,7
4,17,12,7,5
17,12,7,5,11
12,7,5,11,8
7,5,11,8,6
5,11,8,6,16
11,8,6,16,11
8,6,16,11,9
6,16,11,9,7
16,11,9,7,15
11,9,7,15,13
9,7,15,13,11
7,15,13,11,4
15,13,11,4,15
13,11,4,15,6
11,4,15,6,16
4,15,6,16,14
15,6,16,14,11
6,16,14,11,7
16,14,11,7,17
14,11,7,17,8
11,7,17,8,18
7,17,8,18,13
17,8,18,13,11
8,18,13,11,9
18,13,11,9,8
13,11,9,8,18
11,9,8,18,16
9,8,18,16,12
8,18,16,12,7
18,16,12,7,15
16,12,7,15,5
12,7,15,5,14
7,15,5,14,17
15,5,14,17,15
5,14,17,15,8
14,17,15,8,13
17,15,8,13,1
15,8,13,1,14
8,13,1,14,18
13,1,14,18,15
1,14,18,15,13
14,18,15,13,4
18,15,13,4,18
15,13,4,18,16
13,4,18,16,14
4,18,16,14,7
18,16,14,7,6
16,14,7,6,19
14,7,6,19,16
7,6,19,16,14
6,19,16,14,5
19,16,14,5,7
16,14,5,7,17
14,5,7,17,12
5,7,17,12,8
7,17,12,8,15
