"i1","i2","i3","i4","target"
1.0,0.5,1.0,1.0,0.5
0.5,1.0,1.0,0.5,2.0
1.0,1.0,0.5,2.0,2.0
1.0,0.5,2.0,2.0,2.0
0.5,2.0,2.0,2.0,2.0
2.0,2.0,2.0,2.0,1.0
2.0,2.0,2.0,1.0,0.5
2.0,2.0,1.0,0.5,0.75
2.0,1.0,0.5,0.75,1.0
1.0,0.5,0.75,1.0,0.5
0.5,0.75,1.0,0.5,0.25
0.75,1.0,0.5,0.25,2.0
1.0,0.5,0.25,2.0,1.0
0.5,0.25,2.0,1.0,1.0
0.25,2.0,1.0,1.0,2.0
2.0,1.0,1.0,2.0,1.0
1.0,1.0,2.0,1.0,1.5
1.0,2.0,1.0,1.5,1.0
2.0,1.0,1.5,1.0,1.0
1.0,1.5,1.0,1.0,1.0
1.5,1.0,1.0,1.0,0.5
1.0,1.0,1.0,0.5,3.0
1.0,1.0,0.5,3.0,0.5
1.0,0.5,3.0,0.5,2.0
0.5,3.0,0.5,2.0,2.0
3.0,0.5,2.0,2.0,0.5
0.5,2.0,2.0,0.5,0.5
2.0,2.0,0.5,0.5,0.5
2.0,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,0.5
0.5,0.5,1.0,0.5,1.0
0.5,1.0,0.5,1.0,0.5
1.0,0.5,1.0,0.5,2.0
0.5,1.0,0.5,2.0,2.0
1.0,0.5,2.0,2.0,2.0
0.5,2.0,2.0,2.0,2.0
2.0,2.0,2.0,2.0,1.0
2.0,2.0,2.0,1.0,0.5
2.0,2.0,1.0,0.5,1.0
2.0,1.0,0.5,1.0,1.0
1.0,0.5,1.0,1.0,0.5
0.5,1.0,1.0,0.5,2.0
1.0,1.0,0.5,2.0,0.5
1.0,0.5,2.0,0.5,1.5
0.5,2.0,0.5,1.5,2.0
2.0,0.5,1.5,2.0,0.5
0.5,1.5,2.0,0.5,2.0
1.5,2.0,0.5,2.0,0.5
2.0,0.5,2.0,0.5,1.0
0.5,2.0,0.5,1.0,0.5
2.0,0.5,1.0,0.5,1.0
0.5,1.0,0.5,1.0,0.5
1.0,0.5,1.0,0.5,2.0
0.5,1.0,0.5,2.0,1.5
1.0,0.5,2.0,1.5,0.5
0.5,2.0,1.5,0.5,2.0
2.0,1.5,0.5,2.0,0.5
1.5,0.5,2.0,0.5,0.5
0.5,2.0,0.5,0.5,0.5
2.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,1.0
0.5,0.5,1.0,1.0,1.0
0.5,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0,2.0
1.0,1.0,3.0,2.0,1.0
1.0,3.0,2.0,1.0,1.0
3.0,2.0,1.0,1.0,0.5
2.0,1.0,1.0,0.5,1.0
1.0,1.0,0.5,1.0,0.5
