"i1","i2","i3","i4","target"
11,9,7,0,14
9,7,0,14,11
7,0,14,11,9
0,14,11,9,7
14,11,9,7,15
11,9,7,15,11
9,7,15,11,8
7,15,11,8,6
15,11,8,6,16
11,8,6,16,11
8,6,16,11,7
6,16,11,7,7
16,11,7,7,17
11,7,7,17,14
7,7,17,14,7
7,17,14,7,5
17,14,7,5,8
14,7,5,8,18
7,5,8,18,14
5,8,18,14,9
8,18,14,9,2
18,14,9,2,13
14,9,2,13,8
9,2,13,8,4
2,13,8,4,17
13,8,4,17,16
8,4,17,16,11
4,17,16,11,7
17,16,11,7,0
16,11,7,0,19
11,7,0,19,10
7,0,19,10,7
0,19,10,7,3
19,10,7,3,9
10,7,3,9,18
7,3,9,18,8
3,9,18,8,6
9,18,8,6,4
18,8,6,4,17
8,6,4,17,12
6,4,17,12,7
4,17,12,7,5
17,12,7,5,8
12,7,5,8,6
7,5,8,6,16
5,8,6,16,11
8,6,16,11,9
6,16,11,9,7
16,11,9,7,6
11,9,7,6,17
9,7,6,17,12
7,6,17,12,7
6,17,12,7,3
17,12,7,3,15
12,7,3,15,11
7,3,15,11,7
3,15,11,7,4
15,11,7,4,6
11,7,4,6,14
7,4,6,14,11
4,6,14,11,9
6,14,11,9,0
14,11,9,0,18
11,9,0,18,14
9,0,18,14,9
0,18,14,9,7
18,14,9,7,19
14,9,7,19,14
9,7,19,14,10
7,19,14,10,3
19,14,10,3,9
14,10,3,9,19
10,3,9,19,15
3,9,19,15,8
9,19,15,8,3
19,15,8,3,14
15,8,3,14,15
8,3,14,15,13
3,14,15,13,11
14,15,13,11,4
15,13,11,4,15
13,11,4,15,13
11,4,15,13,11
4,15,13,11,3
15,13,11,3,18
13,11,3,18,14
11,3,18,14,11
3,18,14,11,2
18,14,11,2,10
14,11,2,10,18
11,2,10,18,9
2,10,18,9,2
10,18,9,2,12
18,9,2,12,11
9,2,12,11,14
2,12,11,14,12
12,11,14,12,10
11,14,12,10,3
14,12,10,3,16
12,10,3,16,11
10,3,16,11,9
3,16,11,9,0
16,11,9,0,7
11,9,0,7,15
9,0,7,15,10
0,7,15,10,5
7,15,10,5,1
15,10,5,1,14
10,5,1,14,9
5,1,14,9,4
1,14,9,4,2
14,9,4,2,3
9,4,2,3,13
4,2,3,13,8
2,3,13,8,4
3,13,8,4,4
13,8,4,4,6
8,4,4,6,14
4,4,6,14,9
4,6,14,9,5
6,14,9,5,0
14,9,5,0,4
9,5,0,4,12
5,0,4,12,8
0,4,12,8,4
4,12,8,4,1
12,8,4,1,3
8,4,1,3,11
4,1,3,11,8
1,3,11,8,6
3,11,8,6,-3
11,8,6,-3,18
8,6,-3,18,7
6,-3,18,7,4
-3,18,7,4,2
18,7,4,2,17
7,4,2,17,7
4,2,17,7,5
2,17,7,5,5
17,7,5,5,8
7,5,5,8,6
5,5,8,6,16
5,8,6,16,9
8,6,16,9,4
6,16,9,4,7
16,9,4,7,10
9,4,7,10,5
4,7,10,5,15
7,10,5,15,11
10,5,15,11,6
5,15,11,6,4
15,11,6,4,3
11,6,4,3,16
6,4,3,16,11
4,3,16,11,7
3,16,11,7,2
16,11,7,2,0
11,7,2,0,15
7,2,0,15,11
2,0,15,11,7
0,15,11,7,4
15,11,7,4,6
11,7,4,6,14
7,4,6,14,11
4,6,14,11,9
